Date,Patrol Time ,Steward name,High Temperature,Weather,Number of observed gorge users,Number of observed violations,Number of person interactions: Alternatives,Number of person interactions: Warnings,Number of person interactions: Directions,Total number of person interactions (Daily),Number of contacts to CUPD,Number of People above Ithaca Falls?,Description of Interactions,Description of notable events
5/20/2021,11-7pm,Mark,83,Sunny,57,17,,,1,,1,0,"11 Swimmers under the suspension bridge (call police), 6 swimmers in upper casdadilla",
5/21/2021,11-7pm,Mark,86,Sunny,68,12,,,,1,0,0,"8 Swimmers upper cascadilla, 3 under lower cascadilla falls, 1 dog off leash",
5/22/2021,11-7pm,Mark,81,Sunny,87,15,,,,,0,4,"10 Under suspension bridge, 2 jumping the cascadilla gate, 2 in upper cascadilla",Red plate in upper cascadilla. Why must you sit in the river?
5/23/2021,11-7pm,Mark,75,Sun and Clouds,55,7,,,,0,0,0,"4 in closed cascadilla, 3 above tennis courts",
5/24/2021,11-7pm,Mark,72,Sun and Clouds,69,4,,,,,0,0,"2 swimming under suspension bridge, 2 jumping the fence behind Risley",Found Cascadilla fencing displaced
5/25/2021,12-3pm,Mark,82,Sun then Rain,31,7,,,,0,0,0,All seven jumped the fence behind Risley,Found Cascadilla fencing displaced
5/26/2021,1-7pm,Mark,80,Sun and T-storms,38,4,,,,,0,0,4 jumping the cascadilla gate,Red plate has moved downstream. 
5/27/2021,11am-7pm,Mark,65,Sun,88,0,,,,0,0,0,"Trash accumulating under Lamda Chi Alpha, removed table and trash from under north campus bridge. ",
7/1/,11am-7pm,Mark,54,Rain,34,0,,,,,0,0,Cold day,
5/29/2021,12pm-7pm,Mark,55,Sun and Sprinkles,54,2,,,,0,0,0,Two over the risley fence,"Blue is humanity's year round trash color. There is nothing blue here but trash. Red is humanity's trash color, but only in spring. Red plate is now laughing at me. It is lodged in the river, but the water is too high for me to reach it. Damn you, Red plate!"
5/30/2021,1pm-5pm,Mark,65,Sun and sprinkles,24,0,,,,,0,0,,
5/31/2021,,,,,,,,,,0,,,,
6/1/2021,12pm-7pm,Mark,72,Sunny,66,0,,,6,,0,0,,Gates to Cascadilla where completely flattened. I put them back up and wired them in place. In the gorge were lots of beer and liquor bottles. Pretty gross.
6/2/2021,3pm-7pm,Mark,65,Clouds and light rain,24,0,,,,6,0,0,,"Wire gone from the gate today, flattened again, more trash is coming down from LXA"
6/3/2021,11am-4pm,Mark,72,Sun and Rain,22,0,,,,,0,0,,Weirdly quiet today. Almost no one around...Red plate mocks me. It now sits above the second falls in upper cascadilla.
6/4/2021,11am-7pm,Mark,82,Sunny,101,2,,,,0,0,0,Under suspension bridge - came across two people past the sign taking off their shoes!,"Water was very high today. Had those two gone in, they'd have gone right over the falls! Moved a whole lot of rocks that fell in cascadilla."
6/5/2021,,,89,Sunny,,,,,,,,,,
6/6/2021,11am-6pm,Mark,90,Sunny and HOT,48,6,,,,0,1,2,"2 people above ithaca falls, 4 under the suspension bridge on fall creek","Removed trash from under LXA. They paid for the gorge clean up.  $3900, so I tipped them back with some extra beer bottle removal. Keg cups, too."
6/7/2021,11am-7pm,Mark,90,Sunny and HOT,57,2,2,,,,0,0,"1 person in cascadilla, 1 person on the falls above the tennis courts",
6/8/2021,11am-1:30pm,"Mark, Phillip, Hannah",81,Sunny,6,1,,,,2,0,0,"One woman in Hemlock gorge falls area, plus dog off leash",Training day. we toss rocks at red plate. Red plate remains defiant.
6/9/2021,"11am-2:15pm, 5pm-7pm",Hannah,81,Sunny,37,5,,,,,0,0,"2 people below suspension bridge above horseshoe falls, 3 people on Cascadilla Gorge trail closed section","Red plate has migrated downstream, still too far away to reach."
6/10/2021,"11am-5pm, 5pm-7pm","Phillip, Hannah",77,Sunny,74,4,,,,0,0,0,"1 family with a puppy (Molly) off leash near Beebe Beach. They were very willing to put Molly back on a leash. 2 people at the base of the falls below Beebe, 1 person underneath suspension bridge.","Red plate Appeared within reach, I took off my shoes to get it but the ground was too slippery to cress the gorge. May be possibe with water shoes. I ripped my shorts on the fence."
6/11/2021,"11am-2pm, 2:40pm-7pm",Hannah,81,Sunny,17,0,,,,,0,0,No violations today.,"I retreived the infamous red plate! I also met Todd Bittner from the Botanic Gardens, he says to tell Mark hello."
6/12/2021,11am-3pm,"Hannah, Phillip",81,Sunny,44,0,,,,0,0,0,No violations today.,I helped a lost couple find triphammer falls. Someone vomitted their chili onto the wobbly footbridge connecting West campus with Cayuga Heights
6/13/2021,"11am-4pm, 4:40pm-6:45pm",Hannah,81,Sunny,48,0,,,,,0,0,No violations today.,"Talked to a family from Alabama and another family from California, and saw a bunch of chipmunks. "
6/14/2021,"1pm-4:30pm, 5pm-7pm",Hannah,70,Sunny then rainy,23,0,,,,0,0,0,No violations today.,
6/15/2021,"2pm-4pm, 4:30pm-7pm",Hannah,60,Clouds and light rain,29,5,,,,,0,0,Family of five past the signs in upper Hemlock Gorge,Training day!
6/16/2021,12:30pm-4:45pm,Hannah,60,Windy and chilly,13,0,,,,0,0,0,No violations today.,
6/17/2021,"11am-1:15pm, 5pm-7pm",Hannah,72,Sunny,19,0,,,,,0,0,No violations today.,
6/18/2021,"11am-2pm, 2pm-6pm","Euna, Mark",81,Sunny with some clouds / light rain,56,6,,,,0,0,0,6 people (in pairs!) exploring under the suspension bridge,Talked to someone who just graduated from her masters and lived in an apt in the Odyssey house!!
6/19/2021,11am-7pm,Phillip,79,Cloudy w rain for last hour,52,10,,,,,2,10,"""Party"" (group of 10 people drinking and smoking) above Ithaca falls busted by me. Warned them I was calling the cops, called the cops, told them I called the cops, they left, called the cops again to let them know I had handled the case. ","Generally nice day, great temperature, rainy at the end. Cleaned up some trash from Beebe Lake trail. Would love to get my hands on a whistle to more easily capture the attention of our violators"
6/20/2021,11am-7pm,Phillip,82,Sunny with some clouds ,45,0,,,,0,0,0,No violations today.,Met a very nice dog named Mabel and helped a family find a nice spot to have a picnic
6/21/2021,11am-4:15pm,Hannah,82,Sunny then stormy,13,0,,,,,0,0,No violations today.,Was going to go back out after my break but it was thundering so decided to stay home. 
6/23/2021,"11AM-3PM, 3-7pm","Phillip, Euna",70,Sunny and Beautiful. ,58,2,,,,0,0,0,1 person fishing in Bebe and 1 person walking under the bridge in the collegetown gorge,Beautiful day. Met a very nice family and their dog
6/24/2021,11am-7pm,Phillip,76,Sunny,31,3,,,,,0,0,3 students swimming in the hemlock gorge area,The parking garage felt so nice today! Not many ppl on trail but those I met were very nice
6/25/2021,11AM-3PM; 3PM-7PM,"Phillip, Emily",80,Sunny and Beautiful. ,63,0,,,,0,0,0,No violations today.,"Saw Josh from the climbing wall and Emily at the start of her shift!; Saw Phillip at the end of his shift, and saw someone fall on roller skates by Stocking Hall"
6/26/2021,11-3PM; 3PM-7PM,"Emily, Phillip",88,Sunny and HOT,70,0,,,,,0,0,Talked to some people who wanted to go down into Cascadilla Gorge about repairs,"Saw a deer, caught a toad. Saw a BABY DEER while on the Beebe Lake Trail"
6/27/2021,"11-3PM, 3-7PM","Emily, Phillip",91,Sunny and SUPER HOT,65,12,,,,0,0,0,Talked to some women with dogs in the gorge behind Risley; lots of studentsswiming in hemlock gorge area; family of 4 trying to hop over fence to get to lower cascadilla,Consumed 10 ice pops in the first hour of shift before they melted; SOOOO HOTTTTT
6/28/2021,"11am-5pm, 5:30pm-7pm",Hannah,91,Sunny then rainy,25,0,,,,,0,0,No violations today.,"Super hot at the beginning, then rainy but it was nice to cool off. Had the sweetest interaction with a little girl at Beebe. Otherwise a very slow Monday. "
6/29/2021,11am-3pm; 3PM-7PM,"Hannah, Phillip",95,super hot and sunny; brief rain storm,21,4,,,,0,0,0,"Two people swimming in the falls below Beebe, they were locals and weren't wanting to leave. They asked about our patrolling hours and I was pretty vague, it seemed like they were trying to figure out when they could go without getting in trouble. They were nice about it though; Two people swimming in upper cascadilla",Nothing notable to report. 
6/30/2021,"11am-3pm,3-7pm","Euna, Hannah",89,"not too hot but very humid, did rain and thunder for a little",26,0,,,,,0,0,No violations today. Just some people running but very quiet,Nothing notable to report. 
7/1/2021,"11am-3pm, 4pm-7pm",Hannah,80,sunny,14,0,,,,0,0,0,No violations today.,Nothing notable.
7/2/2021,11-3pm;3pm-7pm,"Euna, Phillip",70,little misty at first but then gorgeous; bit of spotty drizzles but nice and cool,55,0,,,,,0,0,No violations today. Helped an old couple find gorges and hikes!; told two students planning to find Ezra's tunnel about the dangers of swimming in the gorges while they were on Stewart Ave Bridge,Weather today was the best in a while!
7/3/2021,11-7pm,Phillip,66,Rainy,22,2,,,,0,0,0,Two dogs off leash. One at upper cascadilla and one on Beebe Lake Trail,Very quiet day for a weekend
7/4/2021,"11am-2pm, 3pm-7pm",Hannah,79,sunny,73,2,,,,,0,0,Two people below Thurston bridge. ,Nothing notable.
7/5/2021,11-3pm;3pm-7pm,"Phillip, Euna",83,Sunny,62,2,,,,0,0,0,"Two people swimming in in hemlock gorge, but they happily left when requested","Didn't see anyone in the gorge, but the trail that goes to the one under the bridge which construction is happening looked pretty worn/used"
7/6/2021,11-3pm; 3-7pm,"Emily, Audrey",90,"Humid, Thunderstorms ",53,1,,,,,1,0,"Took a photo for a couple who graduated in 1999; One person treading water in Hemlock Gorge, swimming into the strong current for exercise? Ignored requests to get out, called CUPD","Watched a bird eat a gypsy moth; picked up some trash by Risley gorge. I watched a mink swim across Bebe lake. Moved twigs, sticks, small branches from the trail… me, not the mink. "
7/7/2021,11-7pm,Phillip,80,"Sunny, Cloudy, Verge of raining",55,2,,,,0,0,0,"Two people ""clif jumping"" into the yellow mush in hemlock gorge (gag).",So many smiling faces today. Such a great day :)
7/8/2021,11-7pm,Mark,79,"Cloudy, ended in rain",83,1,,,,,0,0,First time I've seen someone climbing over the lower gate in the clsoed section of Cascadilla.,"Made the run down to lower cascadilla, just to check in, collect trash and so on. Amazingly, I only found three beer cans, and they were pretty well hidden in the undergrowth. Either people got suddenly better about trash, or someone is helping us out down there!"
7/9/2021,11-3:30pm,Mark,80,"Sunny, then rain",32,0,1,,,1,0,0,No violations. Water was high again today. No one in their right mind would jump in there...,"Saw Jules and checked in on Cascadilla closure. They are fixing the chain, inspecting the cliff above, and if nothing looks like it is going to come crashing down, the area will be reopened."
7/10/2021,11-3pm,Emily,75,Partly cloudy,40,0,,,,,0,0,No violations today; lots of people walking around Bebe,Saw a tree down in Cascadilla Gorge
7/11/2021,11-3pm; 3-7pm,"Euna, Audrey",67,overcast then rainy,102,0,,,,0,0,0,"No violations today, very quiet and once the rain came it emptied out. ","Some determined tourists and runners with rain gear in the early afternoon, but only one human after 5:30 pm."
